X-coordinate,Y-coordinate
884,465
881,465
879,465
878,470
878,470
878,470
877,465
877,465
877,470
876,470
876,470
875,470
873,465
873,463
872,463
872,463
871,463
870,463
869,463
865,463
865,463
865,463
862,458
859,458
854,458
852,458
851,458
850,458
850,458
849,458
848,458
845,458
844,454
844,454
843,454
841,454
840,452
838,452
835,451
835,451
834,447
833,447
832,447
829,447
828,443
828,443
826,442
824,442
815,420
807,420
806,420
806,420
806,420
806,420
806,420
806,420
806,440
807,443
814,443
815,443
818,443
820,443
821,443
823,443
823,443
823,443
824,443
824,443
824,443
824,447
824,447
825,447
828,447
828,447
829,451
830,451
830,451
831,452
831,452
832,452
836,452
837,452
837,452
838,454
839,454
842,454
842,454
842,454
842,454
843,458
844,458
844,458
847,459
848,459
849,463
851,463
854,463
854,463
854,463
856,463
860,463
860,463
862,463
865,463
866,463
866,463
867,465
867,465
868,465
868,465
869,465
870,465
871,465
871,463
871,470
871,470
872,470
872,470
874,470
874,470
875,470
877,470
881,470
881,470
884,470
885,470
887,470
891,470
894,470
895,470
895,470
896,470
898,470
902,470
905,470
905,470
906,470
909,470
910,470
910,470
912,470
914,470
914,470
914,470
915,470
916,470
918,470
918,470
919,470
920,470
922,470
926,470
926,474
930,474
930,474
934,474
937,474
937,474
940,474
942,474
943,474
944,470
947,470
947,470
950,470
950,470
950,470
951,470
953,470
953,470
953,470
953,470
955,470
956,470
956,470
958,463
960,463
960,463
962,463
964,463
967,463
969,463
971,463
973,463
974,463
974,463
977,463
979,465
979,465
981,465
983,465
983,465
984,465
986,465
986,465
986,465
987,465
987,465
987,465
988,465
988,465
988,465
988,465
988,465
988,465
988,465
988,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
989,465
988,465
986,470
975,477
974,477
974,477
973,477
973,477
972,477
970,477
968,477
968,477
968,477
968,477
968,477
968,477
968,477
968,477
968,477
966,477
965,477
965,477
964,477
963,476
963,476
963,476
963,476
963,476
963,476
961,476
958,476
954,474
953,470
951,470
951,470
951,470
951,470
951,470
951,470
951,470
951,470
950,470
950,470
945,470
945,470
945,470
945,470
944,470
943,470
943,470
941,470
940,470
939,470
939,470
939,470
939,470
939,470
935,474
935,474
935,474
928,474
925,474
925,474
925,474
925,474
925,474
925,474
925,474
925,474
925,474
922,474
922,474
922,474
919,474
919,474
916,474
914,474
913,474
910,474
901,474
891,474
890,475
885,475
885,475
881,475
878,475
877,475
877,475
875,475
875,475
875,475
875,475
875,475
875,475
875,475
875,475
875,475
875,475
873,475
871,476
869,476
867,476
867,476
867,476
866,476
865,476
863,476
848,476
846,476
846,476
842,474
838,474
836,474
834,474
834,474
832,474
832,474
830,474
830,470
830,470
830,470
829,470
829,470
828,470
828,470
827,465
827,465
826,465
823,465
820,463
814,420
813,420
813,420
813,420
813,420
813,420
813,420
813,420
814,420
821,452
823,452
825,452
825,452
827,452
827,452
827,454
828,454
828,454
831,454
831,454
832,454
832,454
834,454
834,454
835,459
835,459
839,463
842,463
845,463
847,463
849,463
849,463
852,463
856,463
860,463
861,463
862,463
862,463
863,463
863,463
863,463
863,463
863,463
863,458
862,458
862,458
862,458
860,453
860,453
860,453
860,454
860,454
860,454
860,454
860,454
861,454
862,454
865,454
869,454
873,459
875,459
875,459
880,459
883,459
884,459
887,459
891,459
894,459
895,459
895,459
895,459
897,459
897,458
897,458
897,458
897,454
897,454
898,454
898,451
